ticket_id,run_id,feature_set,track,feature_name,audit_class,action,note
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,raw,dynamic_csi,siccd,unmapped_required_predictor_feature,computed_as_unmapped_features_block,Required predictor feature did not match the canonical 11-family mapping rules.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,raw,permanent_csi,siccd,unmapped_required_predictor_feature,computed_as_unmapped_features_block,Required predictor feature did not match the canonical 11-family mapping rules.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,fund,dynamic_csi,siccd,unmapped_required_predictor_feature,computed_as_unmapped_features_block,Required predictor feature did not match the canonical 11-family mapping rules.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,fund,permanent_csi,siccd,unmapped_required_predictor_feature,computed_as_unmapped_features_block,Required predictor feature did not match the canonical 11-family mapping rules.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z1,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z2,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z3,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z4,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z5,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z6,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z7,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z8,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
AE-FEAT-IMPORT-004R,family_log_odds_rebuild_20260602_gbm,latent_raw,dynamic_csi,z9,latent_feature_outside_canonical_11,computed_as_vae_latent_features_block,VAE latent dimensions do not map to the 11 raw/engineered families.
