run_id,C,M,T,oos_ap,oos_auc,oos_r_fpr3,best_total_market_strategy_id,tm_alpha,difference_from_main_run,run_status_model,selected_role
C090_M020_T018,-0.9,-0.2,18,0.2743798497137193,0.9110959425392384,0.316315205327414,youden_5yr,0.0022587653128984,0.0016118238645535,completed_full_storage_pruned,11C TM
C060_M030_T028,-0.6,-0.3,28,0.2003247736937806,0.8795643833461513,0.228125,fpr3_5yr,0.0019614648937116,0.0013145234453666998,skipped_complete_storage_pruned,
C090_M030_T028,-0.9,-0.3,28,0.1561406682913778,0.9219831881064574,0.3296398891966759,youden_3yr,0.001763897772935,0.0011169563245901001,completed_full_storage_pruned,
C090_M000_T012,-0.9,0.0,12,0.5566333407080201,0.9196034304496846,0.4065464895635673,youden_3yr,0.0016854343544205,0.0010384929060756002,completed_full_storage_pruned,Composite
C080_M030_T018,-0.8,-0.3,18,0.2781943211994251,0.906743661223948,0.3078880407124681,youden_5yr,0.0015336963676835,0.0008867549193385999,completed_full_storage_pruned,
C090_M020_T012,-0.9,-0.2,12,0.3854611397624424,0.9133808160027356,0.3399267399267399,youden_5yr,0.0014611924085683,0.0008142509602233999,completed_full_storage_pruned,
C060_M020_T018,-0.6,-0.2,18,0.319278129577127,0.8696985456890961,0.1880794701986755,youden_3yr,0.0014475253837578,0.0008005839354128999,skipped_complete_storage_pruned,
C060_M030_T018,-0.6,-0.3,18,0.2519559864383183,0.8698464567192763,0.2143579373104145,youden_3yr,0.0012444075289144,0.0005974660805695,skipped_complete_storage_pruned,
C060_M000_T028,-0.6,0.0,28,0.3064090235606204,0.8519212019026927,0.1984732824427481,fpr3_5yr,0.0012085356308206,0.0005615941824756999,skipped_complete_storage_pruned,
C090_M000_T018,-0.9,0.0,18,0.3782581027514098,0.9056510353466224,0.3172205438066465,youden_5yr,0.0011951082207606,0.0005481667724157,completed_full_storage_pruned,
C090_M030_T012,-0.9,-0.3,12,0.2844799058271248,0.9113953221278878,0.3365695792880259,youden_5yr,0.0011905841465944,0.0005436426982495,completed_full_storage_pruned,
C090_M000_T028,-0.9,0.0,28,0.2048913991013412,0.8965361944343772,0.2429378531073446,youden_5yr,0.001176535823913,0.0005295943755680999,completed_full_storage_pruned,
C060_M030_T012,-0.6,-0.3,12,0.2853173934579922,0.8585660998139822,0.202445652173913,fpr3_5yr,0.0008022833122689,0.00015534186392399997,skipped_complete_storage_pruned,
C080_M030_T028,-0.8,-0.3,28,0.1937290109793498,0.9136232566807824,0.3072033898305085,fpr3_3yr,0.0007697800507093,0.0001228386023644,completed_full_storage_pruned,
C080_M020_T012,-0.8,-0.2,12,0.3793569365539238,0.8934021610079795,0.2586592178770949,fpr3_5yr,0.0007646538199455,0.00011771237160059997,completed_full_storage_pruned,
C080_M000_T028,-0.8,0.0,28,0.2271486514426365,0.8753023978951143,0.18,fpr3_5yr,0.000756879663065,0.00010993821472009995,completed_full_storage_pruned,
C080_M020_T028,-0.8,-0.2,28,0.1920892570429757,0.8919343002388352,0.1664429530201342,fpr3_5yr,0.0006897455827663,4.280413442140003e-05,completed_full_storage_pruned,
C080_M020_T018,-0.8,-0.2,18,0.3083808870756524,0.8961080832647875,0.2547008547008547,youden_5yr,0.0006469414483449,0.0,skipped_complete_storage_pruned,Main run
C060_M020_T012,-0.6,-0.2,12,0.3855628283159056,0.8546108520715986,0.1992254733218588,fpr3_5yr,0.0005676380294035,-7.930341894139999e-05,skipped_complete_storage_pruned,
C060_M000_T018,-0.6,0.0,18,0.414470692930752,0.8460987008494935,0.1756487025948103,fpr3_5yr,0.0005564000241662,-9.054142417869995e-05,skipped_complete_storage_pruned,
C060_M000_T012,-0.6,0.0,12,0.5663822532811691,0.8637626566089577,0.2038480272771553,fpr3_5yr,0.0005196469020163,-0.0001272945463286,skipped_complete_storage_pruned,AP winner
C080_M030_T012,-0.8,-0.3,12,0.2862484193890794,0.8881012164418651,0.270956816257409,youden_3yr,0.000483974297925,-0.00016296715041989998,completed_full_storage_pruned,
C090_M020_T028,-0.9,-0.2,28,0.1585587887136293,0.9050299111325334,0.2186915887850467,youden_5yr,0.0002943485420949,-0.00035259290625,skipped_complete_storage_pruned,
C090_M030_T018,-0.9,-0.3,18,0.2525296602311936,0.9190160961194008,0.382258064516129,fpr3_5yr,0.0002203894696588,-0.0004265519786861,completed_full_storage_pruned,
