"record_type","track","lockout_years","threshold_method","transaction_cost_bps","index_id","status","run_id","source_file","notes"
"grid_combination","dynamic_csi","1","youden","5","total_market","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","5","large_cap","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","5","mid_cap","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","5","small_cap","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","10","total_market","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","10","large_cap","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","10","mid_cap","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","10","small_cap","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","20","total_market","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
"grid_combination","dynamic_csi","1","youden","20","large_cap","present_in_index_suite_not_sensitivity_grid","","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv","AE-INDEX-SUITE raw temporary output has this full-grid combination; sensitivity CMT grid lacks fpr5 and/or transaction-cost overlays."
