slide_frame,slide_title,slide_row_or_claim,displayed_value,source_file,source_filter_or_row,source_value_or_check,caveat
24,"Permanent CSI OOS Index Results at 10 bps","Total benchmark","13.29% geo ret; 19.03% ann. SD; 0.598 Sharpe; -25.03% max DD; -11.62% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=total_market; model_key=bench; strategy_id=bench_mw","net_annualized_geometric_return=0.1329069763; net_annualized_sd=0.1902719896; net_sharpe_ratio=0.5975541948; net_max_drawdown=-0.2503468302; net_expected_shortfall_2p5=-0.1161840181","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
24,"Permanent CSI OOS Index Results at 10 bps","Total best strategy","AG Exp. Dataset + VAE; FPR5/perm.; 13.55% geo ret; 18.82% ann. SD; 0.614 Sharpe; -24.72% max DD; -11.45% ES; +0.26pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv","response_track=permanent_csi; period=oos; transaction_cost_bps=10; index_id=total_market; model_key=raw_plus_latent; threshold_method=fpr5; strategy_id=fpr5_permanent","strategy net return=0.1354912111; displayed delta uses unchanged benchmark reference: 0.1354912111 - 0.1329069763 = 0.0025842348","Strategy row uses OOS 10 bps net performance; delta follows deck benchmark-reference convention."
24,"Permanent CSI OOS Index Results at 10 bps","Large benchmark","14.28% geo ret; 18.49% ann. SD; 0.657 Sharpe; -24.79% max DD; -10.84% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=large_cap; model_key=bench; strategy_id=bench_mw","net_annualized_geometric_return=0.1427686028; net_annualized_sd=0.1849495470; net_sharpe_ratio=0.6566810698; net_max_drawdown=-0.2478753417; net_expected_shortfall_2p5=-0.1083800817","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
24,"Permanent CSI OOS Index Results at 10 bps","Large best strategy","AG Exp. Dataset + VAE; FPR5/perm.; 14.49% geo ret; 18.38% ann. SD; 0.670 Sharpe; -24.51% max DD; -10.74% ES; +0.22pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv","response_track=permanent_csi; period=oos; transaction_cost_bps=10; index_id=large_cap; model_key=raw_plus_latent; threshold_method=fpr5; strategy_id=fpr5_permanent","strategy net return=0.1449221268; displayed delta uses unchanged benchmark reference: 0.1449221268 - 0.1427686028 = 0.0021535240","Strategy row uses OOS 10 bps net performance; delta follows deck benchmark-reference convention."
24,"Permanent CSI OOS Index Results at 10 bps","Mid benchmark","9.65% geo ret; 20.72% ann. SD; 0.406 Sharpe; -24.58% max DD; -13.83% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=mid_cap; model_key=bench; strategy_id=bench_mw","net_annualized_geometric_return=0.0965345083; net_annualized_sd=0.2072400865; net_sharpe_ratio=0.4063662385; net_max_drawdown=-0.2457680614; net_expected_shortfall_2p5=-0.1383166158","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
24,"Permanent CSI OOS Index Results at 10 bps","Mid best strategy","AG Base Dataset; FPR5/perm.; 10.28% geo ret; 20.58% ann. SD; 0.436 Sharpe; -24.52% max DD; -13.90% ES; +0.62pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","response_track=permanent_csi; period=oos; transaction_cost_bps=10; index_id=mid_cap; model_key=fund; threshold_method=fpr5; strategy_id=fpr5_permanent","strategy net return=0.1027693133; displayed delta uses unchanged benchmark reference: 0.1027693133 - 0.0965345083 = 0.0062348050","Strategy row uses OOS 10 bps net performance; delta follows deck benchmark-reference convention."
24,"Permanent CSI OOS Index Results at 10 bps","Small benchmark","7.65% geo ret; 23.80% ann. SD; 0.305 Sharpe; -29.05% max DD; -16.12% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=small_cap; model_key=bench; strategy_id=bench_mw","net_annualized_geometric_return=0.0765468873; net_annualized_sd=0.2380365761; net_sharpe_ratio=0.3052598057; net_max_drawdown=-0.2904802068; net_expected_shortfall_2p5=-0.1611564996","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
24,"Permanent CSI OOS Index Results at 10 bps","Small best strategy","AG Latent Dataset (VAE); FPR3/perm.; 7.90% geo ret; 23.78% ann. SD; 0.315 Sharpe; -29.26% max DD; -16.35% ES; +0.24pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv","response_track=permanent_csi; period=oos; transaction_cost_bps=10; index_id=small_cap; model_key=latent_raw; threshold_method=fpr3; strategy_id=fpr3_permanent","strategy net return=0.0789548834; displayed delta uses unchanged benchmark reference: 0.0789548834 - 0.0765468873 = 0.0024079961","Strategy row uses OOS 10 bps net performance; delta follows deck benchmark-reference convention."
25,"Permanent CSI OOS Diagnostic and Active Contribution","Total contribution row","TP +0.01pp; FP -0.49pp; reweight +0.52pp; TC -0.01pp; geo adj. +0.22pp; alpha +0.26pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=permanent CSI; period=oos; transaction_cost_bps=10; index_id=total_market; model=raw_plus_latent; threshold_method=fpr5; strategy_id=fpr5_permanent","tp_exclusion_gain=0.0001370771; fp_exclusion_cost=-0.0049374997; retained_stock_reweighting_effect=0.0052361402; transaction_cost_effect=-0.0000760099; compounding_geometric_adjustment=0.0022245272; realized_alpha=0.0025842349; reconciliation_pass=true","Interpretation avoids overclaiming direct event avoidance."
25,"Permanent CSI OOS Diagnostic and Active Contribution","Large contribution row","TP +0.00pp; FP -0.26pp; reweight +0.30pp; TC -0.01pp; geo adj. +0.18pp; alpha +0.22pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=permanent CSI; period=oos; transaction_cost_bps=10; index_id=large_cap; model=raw_plus_latent; threshold_method=fpr5; strategy_id=fpr5_permanent","tp_exclusion_gain=0.0000000000; fp_exclusion_cost=-0.0025523692; retained_stock_reweighting_effect=0.0030479746; transaction_cost_effect=-0.0001290938; compounding_geometric_adjustment=0.0017870124; realized_alpha=0.0021535240; reconciliation_pass=true","Interpretation avoids overclaiming direct event avoidance."
