slide_frame,slide_title,slide_row_or_claim,displayed_value,source_file,source_filter_or_row,source_value_or_check,caveat
20,"Temporary CSI Test-Set Index Results at 10 bps","Total benchmark","13.75% geo ret; 12.05% ann. SD; 0.889 Sharpe; -14.62% max DD; -8.44% ES; 0.00pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=total_market; strategy_id=bench_mw","net_annualized_geometric_return=0.1374602466; net_annualized_sd=0.1204879542; net_sharpe_ratio=0.8886971954; net_max_drawdown=-0.1461812960; net_expected_shortfall_2p5=-0.0844464989","Benchmark displayed as isolated test-set market-cap reference row."
20,"Temporary CSI Test-Set Index Results at 10 bps","Total best strategy","AG Exp. Dataset + VAE; Youden/3yr; 14.15% geo ret; 11.65% ann. SD; 0.946 Sharpe; -13.78% max DD; -8.14% ES; +0.41pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=total_market; model_key=raw_plus_latent; threshold_method=youden; lockout_years=3; strategy_id=youden_3yr","net_annualized_geometric_return=0.1415110787; net_difference_versus_benchmark=0.0040508321","Strategy row uses isolated test-set 10 bps net performance."
20,"Temporary CSI Test-Set Index Results at 10 bps","Large benchmark","14.17% geo ret; 11.60% ann. SD; 0.951 Sharpe; -13.82% max DD; -8.02% ES; 0.00pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=large_cap; strategy_id=bench_mw","net_annualized_geometric_return=0.1416979892; net_annualized_sd=0.1159624607; net_sharpe_ratio=0.9511697255; net_max_drawdown=-0.1381964197; net_expected_shortfall_2p5=-0.0802407636","Benchmark displayed as isolated test-set market-cap reference row."
20,"Temporary CSI Test-Set Index Results at 10 bps","Large best strategy","AG Exp. Dataset + VAE; Youden/3yr; 14.41% geo ret; 11.40% ann. SD; 0.984 Sharpe; -13.33% max DD; -7.86% ES; +0.24pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=large_cap; model_key=raw_plus_latent; threshold_method=youden; lockout_years=3; strategy_id=youden_3yr","net_annualized_geometric_return=0.1440928806; net_difference_versus_benchmark=0.0023948914","Strategy row uses isolated test-set 10 bps net performance."
20,"Temporary CSI Test-Set Index Results at 10 bps","Mid benchmark","13.73% geo ret; 12.85% ann. SD; 0.840 Sharpe; -15.32% max DD; -8.69% ES; 0.00pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=mid_cap; strategy_id=bench_mw","net_annualized_geometric_return=0.1372932076; net_annualized_sd=0.1284643570; net_sharpe_ratio=0.8397808426; net_max_drawdown=-0.1531810829; net_expected_shortfall_2p5=-0.0869182569","Benchmark displayed as isolated test-set market-cap reference row."
20,"Temporary CSI Test-Set Index Results at 10 bps","Mid best strategy","AG Expanded Dataset; Youden/5yr; 14.06% geo ret; 12.15% ann. SD; 0.905 Sharpe; -14.41% max DD; -8.34% ES; +0.33pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=mid_cap; model_key=raw; threshold_method=youden; lockout_years=5; strategy_id=youden_5yr","net_annualized_geometric_return=0.1406318836; net_difference_versus_benchmark=0.0033386760","Strategy row uses isolated test-set 10 bps net performance."
20,"Temporary CSI Test-Set Index Results at 10 bps","Small benchmark","11.37% geo ret; 15.55% ann. SD; 0.582 Sharpe; -20.09% max DD; -10.81% ES; 0.00pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=small_cap; strategy_id=bench_mw","net_annualized_geometric_return=0.1136821025; net_annualized_sd=0.1555303653; net_sharpe_ratio=0.5820605897; net_max_drawdown=-0.2008775314; net_expected_shortfall_2p5=-0.1081073539","Benchmark displayed as isolated test-set market-cap reference row."
20,"Temporary CSI Test-Set Index Results at 10 bps","Small best strategy","AG Exp. Dataset + VAE; Youden/2yr; 12.26% geo ret; 14.47% ann. SD; 0.670 Sharpe; -18.37% max DD; -10.13% ES; +0.89pp delta","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv","track=dynamic_csi; period=test; transaction_cost_bps=10; index_id=small_cap; model_key=raw_plus_latent; threshold_method=youden; lockout_years=2; strategy_id=youden_2yr","net_annualized_geometric_return=0.1225504767; net_difference_versus_benchmark=0.0088683742","Strategy row uses isolated test-set 10 bps net performance."
20,"Temporary CSI Test-Set Index Results at 10 bps","Test-set caveat","Isolated 2016--2019 test rows; zero OOS rows in validation checks","03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_validation_checks.csv","combined_performance_only_test_period; combined_performance_oos_rows; combined_returns_years; combined_returns_oos_year_rows","period=test; OOS rows=0; return years=2016|2017|2018|2019","No OOS values are used on the test-result slide."
21,"Temporary CSI Test-Set Diagnostic and Active Contribution","Total contribution row","TP +0.08pp; FP -0.38pp; reweight +0.67pp; TC -0.01pp; geo adj. +0.04pp; alpha +0.40pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=test; transaction_cost_bps=10; index_id=total_market; model=raw_plus_latent; threshold_method=youden; lockout_years=3","tp_exclusion_gain=0.0007514824; fp_exclusion_cost=-0.0037775576; retained_stock_reweighting_effect=0.0066797861; transaction_cost_effect=-0.0001004507; compounding_geometric_adjustment=0.0004196367; realized_alpha=0.0039728969; reconciliation_pass=true","Diagnostic/contribution source is main-suite period=test attribution, not a standalone AE-FP-DIAG-006 diagnostic build."
21,"Temporary CSI Test-Set Diagnostic and Active Contribution","Large contribution row","TP +0.00pp; FP -0.19pp; reweight +0.41pp; TC -0.01pp; geo adj. +0.02pp; alpha +0.23pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=test; transaction_cost_bps=10; index_id=large_cap; model=raw_plus_latent; threshold_method=youden; lockout_years=3","tp_exclusion_gain=0.0000264736; fp_exclusion_cost=-0.0019178842; retained_stock_reweighting_effect=0.0040606675; transaction_cost_effect=-0.0001343569; compounding_geometric_adjustment=0.0002346321; realized_alpha=0.0022695321; reconciliation_pass=true","Diagnostic/contribution source is main-suite period=test attribution, not a standalone AE-FP-DIAG-006 diagnostic build."
21,"Temporary CSI Test-Set Diagnostic and Active Contribution","Mid contribution row","TP +0.01pp; FP -0.67pp; reweight +1.07pp; TC -0.09pp; geo adj. -0.08pp; alpha +0.24pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=test; transaction_cost_bps=10; index_id=mid_cap; model=raw; threshold_method=youden; lockout_years=5","tp_exclusion_gain=0.0001499788; fp_exclusion_cost=-0.0067176254; retained_stock_reweighting_effect=0.0106889226; transaction_cost_effect=-0.0009123228; compounding_geometric_adjustment=-0.0007990529; realized_alpha=0.0024099003; reconciliation_pass=true","Diagnostic/contribution source is main-suite period=test attribution, not a standalone AE-FP-DIAG-006 diagnostic build."
21,"Temporary CSI Test-Set Diagnostic and Active Contribution","Small contribution row","TP +0.31pp; FP -1.19pp; reweight +1.42pp; TC -0.07pp; geo adj. +0.34pp; alpha +0.82pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=test; transaction_cost_bps=10; index_id=small_cap; model=raw_plus_latent; threshold_method=youden; lockout_years=2","tp_exclusion_gain=0.0031346751; fp_exclusion_cost=-0.0118911815; retained_stock_reweighting_effect=0.0142276467; transaction_cost_effect=-0.0007026494; compounding_geometric_adjustment=0.0034314239; realized_alpha=0.0081999149; reconciliation_pass=true","Diagnostic/contribution source is main-suite period=test attribution, not a standalone AE-FP-DIAG-006 diagnostic build."
21,"Temporary CSI Test-Set Diagnostic and Active Contribution","Interpretation and caveat","Result table uses isolated test outputs; diagnostic uses main-suite period=test attribution with visible caveat","AE-PRES-INDEX-REV-001_missing_source_or_gap_list.csv; AE-PRES-INDEX-REV-001_required_source_matrix.csv; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","GAP-001; GAP-002; block D; selected period=test rows","Standalone isolated test diagnostic/contribution files are missing under 03_Data_Output/9_TestIndexConstruction; AE-ATTRIB period=test rows exist and reconcile.","Interpretation avoids direct causal event-avoidance claims."
